Date,CloseBTC,CloseGold
2010-07-25,0.09999999999999999,1189.6
2010-08-01,0.09999999999999999,1170.3
2010-08-08,0.09999999999999999,1192.58
2010-08-15,0.09999999999999999,1204.8200000000002
2010-08-22,0.09999999999999999,1228.3600000000001
2010-08-29,0.09999999999999999,1233.92
2010-09-05,0.09999999999999999,1246.48
2010-09-12,0.09999999999999999,1251.5749999999998
2010-09-19,0.09999999999999999,1265.8
2010-09-26,0.09999999999999999,1286.38
2010-10-03,0.09999999999999999,1307.14
2010-10-10,0.09999999999999999,1335.76
2010-10-17,0.09999999999999999,1363.2599999999998
2010-10-24,0.09999999999999999,1339.7400000000002
2010-10-31,0.1857142857142857,1339.5400000000002
2010-11-07,0.2571428571428572,1364.7400000000002
2010-11-14,0.24285714285714288,1396.0399999999997
2010-11-21,0.27142857142857146,1349.7199999999998
2010-11-28,0.3,1367.6000000000001
2010-12-05,0.2285714285714286,1386.44
2010-12-12,0.19999999999999998,1396.5000000000002
2010-12-19,0.21428571428571427,1387.08
2010-12-26,0.2571428571428572,1385.125
2011-01-02,0.3,1405.4800000000002
2011-01-09,0.3,1382.8799999999999
2011-01-16,0.34285714285714286,1378.1399999999999
2011-01-23,0.3571428571428571,1356.45
2011-01-30,0.41428571428571426,1333.7800000000002
2011-02-06,0.7428571428571429,1341.1
2011-02-13,1.0142857142857142,1359.52
2011-02-20,0.9714285714285715,1377.1599999999999
2011-02-27,0.9142857142857144,1409.475
2011-03-06,0.9000000000000001,1424.28
2011-03-13,0.9000000000000001,1424.8
2011-03-20,0.8285714285714285,1406.6200000000001
2011-03-27,0.8428571428571429,1430.5
2011-04-03,0.7999999999999999,1425.3200000000002
2011-04-10,0.7285714285714285,1454.72
2011-04-17,0.9571428571428571,1466.44
2011-04-24,1.342857142857143,1497.075
2011-05-01,2.414285714285714,1523.02
2011-05-08,3.4714285714285715,1516.76
2011-05-15,6.257142857142857,1504.1200000000001
2011-05-22,6.757142857142858,1493.36
2011-05-29,8.142857142857142,1524.8400000000001
2011-06-05,12.514285714285716,1538.0
2011-06-12,22.571428571428573,1539.72
2011-06-19,17.957142857142856,1526.4599999999998
2011-06-26,17.357142857142858,1532.2
2011-07-03,16.142857142857146,1498.0400000000002
2011-07-10,14.285714285714288,1528.1
2011-07-17,13.828571428571431,1574.94
2011-07-24,13.728571428571428,1597.56
2011-07-31,13.685714285714287,1617.06
2011-08-07,9.942857142857141,1645.86
2011-08-14,9.671428571428573,1744.1
2011-08-21,11.157142857142857,1799.3799999999999
2011-08-28,9.757142857142858,1811.0
2011-09-04,8.5,1828.6600000000003
2011-09-11,6.271428571428571,1848.725
2011-09-18,5.3,1810.1599999999999
2011-09-25,5.571428571428571,1753.0400000000002
2011-10-02,4.928571428571429,1619.06
2011-10-09,4.571428571428571,1639.48
2011-10-16,3.957142857142857,1671.94
2011-10-23,2.657142857142857,1644.0400000000002
2011-10-30,3.028571428571429,1713.3400000000001
2011-11-06,3.1571428571428575,1736.6799999999998
2011-11-13,2.9857142857142853,1785.2
2011-11-20,2.2571428571428567,1755.5600000000002
2011-11-27,2.3999999999999995,1690.425
2011-12-04,2.8714285714285714,1730.4
2011-12-11,3.0285714285714285,1724.42
2011-12-18,3.1999999999999997,1615.72
2011-12-25,3.914285714285714,1607.1
2012-01-01,4.4,1565.7
2012-01-08,6.171428571428572,1611.775
2012-01-15,6.6571428571428575,1631.08
2012-01-22,6.228571428571429,1658.1249999999998
2012-01-29,5.728571428571429,1700.02
2012-02-05,5.828571428571429,1742.1200000000001
2012-02-12,5.642857142857144,1732.1599999999999
2012-02-19,4.485714285714287,1723.3
2012-02-26,4.685714285714286,1771.775
2012-03-04,4.828571428571428,1740.08
2012-03-11,4.9142857142857155,1693.3399999999997
2012-03-18,5.242857142857142,1670.0
2012-03-25,4.714285714285714,1653.64
2012-04-01,4.799999999999999,1669.94
2012-04-08,4.871428571428572,1647.075
2012-04-15,4.914285714285714,1659.92
2012-04-22,5.128571428571429,1644.1
2012-04-29,5.042857142857143,1647.98
2012-05-06,5.057142857142858,1651.48
2012-05-13,4.971428571428571,1603.0
2012-05-20,5.071428571428571,1563.9399999999998
2012-05-27,5.114285714285714,1567.78
2012-06-03,5.200000000000001,1573.775
2012-06-10,5.5,1607.3799999999999
2012-06-17,6.028571428571429,1614.3399999999997
2012-06-24,6.499999999999999,1598.6399999999999
2012-07-01,6.571428571428572,1578.44
2012-07-08,6.671428571428571,1601.4499999999998
2012-07-15,7.428571428571429,1579.92
2012-07-22,8.728571428571428,1582.6600000000003
2012-07-29,8.742857142857144,1598.8
2012-08-05,10.214285714285714,1605.4599999999998
2012-08-12,11.242857142857142,1614.46
2012-08-19,11.742857142857144,1609.02
2012-08-26,10.228571428571428,1647.36
2012-09-02,10.557142857142859,1667.36
2012-09-09,10.87142857142857,1705.9499999999998
2012-09-16,11.528571428571428,1746.0
2012-09-23,12.271428571428572,1769.6599999999999
2012-09-30,12.299999999999999,1765.0400000000002
2012-10-07,12.571428571428571,1780.64
2012-10-14,11.914285714285715,1765.3
2012-10-21,11.77142857142857,1739.6599999999999
2012-10-28,11.0,1711.36
2012-11-04,10.742857142857144,1704.78
2012-11-11,10.871428571428572,1713.0399999999997
2012-11-18,11.314285714285713,1722.3200000000002
2012-11-25,12.142857142857142,1734.1000000000001
2012-12-02,12.428571428571429,1729.2599999999998
2012-12-09,13.3,1702.14
2012-12-16,13.542857142857143,1705.8399999999997
2012-12-23,13.414285714285715,1667.4
2012-12-30,13.414285714285715,1658.975
