,Date,CloseBTC,CloseGold,CloseBTC_minmax_norm,CloseGold_minmax_norm,CloseBTC_z_norm,CloseGold_z_norm
32,2011-03-06,0.9000000000000001,1424.28,1.2221411826223748e-05,0.32305353684692745,-0.5120642891206114,-0.22646177487049876
33,2011-03-13,0.9000000000000001,1424.8,1.2221411826223748e-05,0.3235949440892905,-0.5120642891206114,-0.2240322342276877
34,2011-03-20,0.8285714285714285,1406.62,1.1130214341739482e-05,0.30466651396205974,-0.51206953355384,-0.30897271285520084
35,2011-03-27,0.8428571428571429,1430.5,1.1348453838636335e-05,0.3295296003998084,-0.5120684846671942,-0.19740073102764222
36,2011-04-03,0.7999999999999999,1425.3200000000004,1.0693735347945776e-05,0.32413635133165397,-0.5120716313271313,-0.22160269358487453
37,2011-04-10,0.7285714285714285,1454.72,9.602537863461513e-06,0.35474668388064057,-0.5120768757603599,-0.08424020339516902
38,2011-04-17,0.9571428571428572,1466.44,1.3094369813811156e-05,0.36694917018928436,-0.5120600935740285,-0.02948209506104071
39,2011-04-24,1.342857142857143,1497.075,1.8986836230026177e-05,0.39884534493888346,-0.5120317736345942,0.11365055415534292
40,2011-05-01,2.4142857142857137,1523.02,3.5354798497290106e-05,0.4258584428294775,-0.5119531071361654,0.2348706156509873
41,2011-05-08,3.4714285714285715,1516.76,5.150452126765721e-05,0.4193407325656456,-0.5118754895243824,0.2056226840663762
42,2011-05-15,6.257142857142857,1504.12,9.406122316254346e-05,0.4061803719051287,-0.5116709566284678,0.14656615767188938
43,2011-05-22,6.757142857142857,1493.36,0.00010169960555393331,0.39497740665930897,-0.5116342455958678,0.09629335513987414
44,2011-05-29,8.142857142857142,1524.84,0.000122868836752928,0.42775336817774806,-0.5115325035912334,0.24337400790082603
45,2011-06-05,12.514285714285714,1538.0,0.0001896501228033649,0.44145513608062803,-0.5112115442776443,0.3048600749381239
46,2011-06-12,22.57142857142857,1539.72,0.00034329072861874905,0.4432459446515212,-0.5104731280790602,0.3128962478335763
47,2011-06-19,17.957142857142856,1526.4599999999996,0.0002727993711210657,0.42944005997126333,-0.5108119184656265,0.25094296144188993
48,2011-06-26,17.357142857142858,1532.2,0.0002636333122513979,0.4354163629927327,-0.5108559717047465,0.2777613523836921
49,2011-07-03,16.142857142857142,1498.0400000000004,0.0002450829550151654,0.3998500718405768,-0.5109451270696325,0.11815922092517689
50,2011-07-10,14.285714285714288,1528.1,0.00021671182041857468,0.43114757512025476,-0.5110814823335754,0.25860535885383434
51,2011-07-17,13.828571428571431,1574.94,0.00020972815651787538,0.479915873643879,-0.5111150467062384,0.477450904448593
52,2011-07-24,13.728571428571426,1597.56,0.00020820048003959734,0.5034670886866709,-0.5111223889127584,0.5831359224108774
53,2011-07-31,13.685714285714289,1617.06,0.00020754576154890687,0.5237698602752847,-0.5111255355726956,0.6742436965162955
54,2011-08-07,9.94285714285714,1645.86,0.0001503670133619314,0.5537554921600065,-0.5114003438738731,0.8088028705796819
55,2011-08-14,9.671428571428573,1744.1,0.00014622046292089126,0.656039814255669,-0.5114202727201417,1.2677991643292341
56,2011-08-21,11.157142857142857,1799.38,0.0001689173705981639,0.7135955687899549,-0.5113111885089873,1.5260780234342355
57,2011-08-28,9.757142857142858,1811.0,0.00014752989990227236,0.7256939383212211,-0.5114139794002674,1.5803689124139766
58,2011-09-04,8.5,1828.6600000000005,0.00012832482417534933,0.7440809612060892,-0.5115062814250905,1.6628798503986806
59,2011-09-11,6.2714285714285705,1848.725,9.427946265944031e-05,0.7649719925868853,-0.5116699077418222,1.7566274138563809
60,2011-09-18,5.3,1810.16,7.943917687045434e-05,0.72481935739125,-0.5117412320337308,1.5764442698371282
61,2011-09-25,5.571428571428571,1753.0400000000004,8.358572731149454e-05,0.6653478541532186,-0.5117213031874622,1.3095685746114127
62,2011-10-02,4.928571428571429,1619.06,7.376494995113618e-05,0.5258521958228348,-0.5117685030865194,0.6835880836040307
63,2011-10-09,4.571428571428571,1639.48,6.830896252871486e-05,0.5471128417633218,-0.5117947252526623,0.7789942757698072
64,2011-10-16,3.957142857142857,1671.94,5.892466416215019e-05,0.5809091477000604,-0.5118398273784281,0.9306536782037494
65,2011-10-23,2.657142857142857,1644.0400000000004,3.906486994453661e-05,0.5518605668117365,-0.5119352760631882,0.8002994783298453
66,2011-10-30,3.0285714285714285,1713.34,4.473909686385478e-05,0.624013493534348,-0.5119080050103997,1.124082490919867
67,2011-11-06,3.157142857142857,1736.6799999999996,4.670325233592645e-05,0.6483143493742577,-0.5118985650305882,1.2331314882337352
68,2011-11-13,2.9857142857142853,1785.2,4.4084378373164215e-05,0.6988318097578244,-0.5119111516703367,1.4598263189821927
69,2011-11-20,2.2571428571428567,1755.5600000000004,3.295416403142473e-05,0.6679715969431318,-0.5119646448892683,1.3213425023419592
70,2011-11-27,2.3999999999999995,1690.425,3.513655900039326e-05,0.6001551339982925,-0.5119541560228112,1.0170191758621414
71,2011-12-04,2.8714285714285714,1730.4,4.23384623979894e-05,0.6417758157549508,-0.5119195427635025,1.203790112778249
72,2011-12-11,3.0285714285714285,1724.42,4.473909686385478e-05,0.635549632467776,-0.5119080050103997,1.1758503953859207
73,2011-12-18,3.2,1615.72,4.7357970826617015e-05,0.5223746954584262,-0.5118954183706511,0.6679829571675133
74,2011-12-25,3.914285714285714,1607.1,5.826994567145964e-05,0.513399829248485,-0.5118429740383652,0.627708648819374
75,2012-01-01,4.4,1565.7,6.569008856595264e-05,0.4702954834141974,-0.5118073118924109,0.43427983610325643
76,2012-01-08,6.171428571428572,1611.775,9.275178618116236e-05,0.5182672885908836,-0.5116772499483422,0.6495511536369559
77,2012-01-15,6.6571428571428575,1631.08,0.00010017192907565534,0.5383670324636111,-0.5116415878023878,0.739747850001319
78,2012-01-22,6.2285714285714295,1658.1249999999998,9.362474416874979e-05,0.5665254149053576,-0.5116730544017593,0.8661073243952173
79,2012-01-29,5.7285714285714295,1700.02,8.598636177735994e-05,0.6101451387876642,-0.5117097654343593,1.061848872915551
80,2012-02-05,5.828571428571429,1742.12,8.75140382556379e-05,0.6539783020635944,-0.5117024232278393,1.2585482211123762
81,2012-02-12,5.642857142857144,1732.16,8.467692479597882e-05,0.643608271036795,-0.5117160587542336,1.212013173415456
82,2012-02-19,4.4857142857142875,1723.3,6.699952554733377e-05,0.6343835245611477,-0.5118010185725366,1.1706175386167885
83,2012-02-26,4.685714285714286,1771.775,7.005487850388969e-05,0.6848541323948942,-0.5117863341594966,1.3971021206557706
84,2012-03-04,4.828571428571427,1740.08,7.223727347285819e-05,0.6518543198050933,-0.5117758452930394,1.2490169462828866
85,2012-03-11,4.914285714285716,1693.3399999999995,7.354671045423936e-05,0.6031901380588462,-0.5117695519731651,1.030638620042513
86,2012-03-18,5.242857142857141,1670.0,7.856621888286692e-05,0.5788892822189368,-0.5117454275803137,0.9215896227286461
87,2012-03-25,4.714285714285714,1653.64,7.049135749768339e-05,0.5618557774399767,-0.5117842363862052,0.8451525363509726
88,2012-04-01,4.799999999999999,1669.94,7.18007944790645e-05,0.5788268121525103,-0.5117779430663308,0.9213092911160142
89,2012-04-08,4.871428571428573,1647.075,7.28919919635488e-05,0.5550205110051434,-0.5117726986331023,0.8144795857354817
90,2012-04-15,4.914285714285714,1659.92,7.354671045423932e-05,0.5683943110592842,-0.5117695519731651,0.8744939118064611
91,2012-04-22,5.128571428571429,1644.1,7.682030290769212e-05,0.5519230368781625,-0.5117538186734795,0.800579809942475
92,2012-04-29,5.042857142857144,1647.98,7.551086592631102e-05,0.5559627678404098,-0.5117601119933537,0.8187079208926817
93,2012-05-06,5.057142857142859,1651.48,7.572910542320788e-05,0.5596068550486225,-0.5117590631067079,0.8350605982962184
94,2012-05-13,4.9714285714285715,1603.0,7.441966844182675e-05,0.5091310413760073,-0.5117653564265823,0.6085526552895174
95,2012-05-20,5.071428571428571,1563.9399999999996,7.594734492010471e-05,0.4684630281323528,-0.5117580142200623,0.42605677546604737
96,2012-05-27,5.114285714285714,1567.78,7.660206341079526e-05,0.47246111238364946,-0.5117548675601251,0.4439979986745007
97,2012-06-03,5.200000000000001,1573.775,7.791150039217639e-05,0.4787029131874311,-0.5117485742402509,0.47200779896998746
98,2012-06-10,5.5,1607.38,8.249452982701028e-05,0.5136913562251422,-0.5117265476206908,0.6290168630116579
99,2012-06-17,6.028571428571429,1614.3399999999995,9.056939121219384e-05,0.520937883930616,-0.5116877388147993,0.6615353300769734
100,2012-06-24,6.499999999999999,1598.64,9.777129460978996e-05,0.5045915498823481,-0.5116531255554907,0.5881818914382552
101,2012-07-01,6.571428571428572,1578.44,9.886249209427424e-05,0.48355996085209174,-0.5116478811222621,0.4938035818521296
102,2012-07-08,6.671428571428571,1601.4499999999996,0.00010039016857255219,0.5075172313266555,-0.511640538915742,0.6013107552965207
103,2012-07-15,7.428571428571429,1579.92,0.00011195686190808539,0.48510088915727884,-0.5115849479235192,0.5007184282970537
104,2012-07-22,8.728571428571428,1582.6600000000005,0.00013181665612569895,0.487953688857423,-0.511489499238759,0.513520238607253
105,2012-07-29,8.742857142857144,1598.8,0.00013203489562259584,0.504758136726152,-0.5114884503521132,0.5889294424052732
106,2012-08-05,10.214285714285714,1605.4599999999996,0.00015451356380297162,0.5116923140994936,-0.5113804150276046,0.6200462514074297
107,2012-08-12,11.242857142857142,1614.46,0.000170226807579545,0.5210628240634696,-0.5113048951891129,0.6620959933022401
108,2012-08-19,11.742857142857144,1609.02,0.00017786518997093488,0.5153988713741332,-0.5112681841565129,0.6366792604236002
109,2012-08-26,10.228571428571428,1647.36,0.00015473180329986848,0.5553172438206692,-0.5113793661409588,0.8158111608954833
110,2012-09-02,10.55714285714286,1667.36,0.00015975131172849615,0.5761405992961705,-0.5113552417481073,0.9092550317728352
111,2012-09-09,10.87142857142857,1705.9499999999996,0.00016455258066022684,0.61631926368615,-0.5113321662419016,1.0895549806306841
112,2012-09-16,11.528571428571427,1746.0,0.00017459159751748204,0.6580180330258417,-0.5112839174561987,1.276676332062583
113,2012-09-23,12.271428571428574,1769.66,0.00018594005135611844,0.6826520625533599,-0.5112293753506214,1.3872204313104906
114,2012-09-30,12.3,1765.0400000000004,0.00018637653034991213,0.6778418674385195,-0.51122727757733,1.3656348971378238
115,2012-10-07,12.571428571428573,1780.64,0.00019052308079095233,0.6940840847094102,-0.5112073487310614,1.438521116422157
116,2012-10-14,11.914285714285715,1765.3,0.0001804840639336971,0.6781125710597005,-0.5112555975167643,1.3668496674592274
117,2012-10-21,11.77142857142857,1739.66,0.00017830166896472857,0.6514170293401079,-0.5112660863832215,1.247054624994463
118,2012-10-28,11.0,1711.36,0.00016651673613229853,0.6219519813422734,-0.5113227262620902,1.114831547703009
119,2012-11-04,10.742857142857144,1704.78,0.0001625884251881552,0.6151010973908335,-0.511341606221713,1.0840885141843608
120,2012-11-11,10.871428571428574,1713.0399999999993,0.0001645525806602269,0.6237011432022148,-0.5113321662419016,1.1226808328567037
