Date,OpenBTC,HighBTC,LowBTC,CloseBTC,VolumeBTC,OpenGold,HighGold,LowGold,CloseGold,VolumeGold
2011-02-06,0.6857142857142857,0.8714285714285717,0.6714285714285714,0.7428571428571429,25140.428571428572,1341.3,1349.72,1329.1,1341.1,4131.2
2011-02-13,1.0,1.0428571428571427,0.8857142857142858,1.0142857142857142,15162.42857142857,1357.6200000000001,1364.1200000000001,1352.06,1359.52,897.2
2011-02-20,0.9857142857142858,1.0142857142857145,0.9142857142857143,0.9714285714285715,11091.0,1370.9599999999998,1380.02,1369.5,1377.1599999999999,173.8
2011-02-27,0.9142857142857144,0.9571428571428572,0.8714285714285716,0.9142857142857144,9486.714285714286,1402.425,1412.2,1400.55,1409.475,291.75
2011-03-06,0.9000000000000001,0.9142857142857144,0.8571428571428571,0.9000000000000001,8660.0,1421.94,1430.5400000000002,1416.9,1424.28,445.0
2011-03-13,0.9000000000000001,0.9000000000000001,0.8714285714285717,0.9000000000000001,6060.428571428572,1427.8600000000001,1433.14,1417.72,1424.8,191.0
2011-03-20,0.8571428571428571,0.8714285714285713,0.7857142857142858,0.8285714285714285,7572.428571428572,1405.08,1411.62,1398.78,1406.6200000000001,29.8
2011-03-27,0.8285714285714285,0.8714285714285716,0.7857142857142857,0.8428571428571429,9289.57142857143,1433.96,1437.3,1433.3799999999999,1430.5,35.0
2011-04-03,0.7999999999999999,0.8142857142857142,0.7999999999999999,0.7999999999999999,5212.142857142857,1420.92,1427.6799999999998,1414.98,1425.3200000000002,12113.0
2011-04-10,0.7428571428571429,0.7857142857142856,0.6714285714285715,0.7285714285714285,13728.142857142857,1448.2399999999998,1459.44,1444.5,1454.72,1165.8
2011-04-17,0.9,1.0,0.8857142857142858,0.9571428571428571,34424.857142857145,1465.44,1473.74,1456.8,1466.44,349.6
2011-04-24,1.2714285714285711,1.457142857142857,1.2142857142857142,1.342857142857143,32607.714285714286,1494.325,1502.6000000000001,1490.55,1497.075,360.25
2011-05-01,2.2142857142857144,2.7571428571428567,1.985714285714286,2.414285714285714,48513.71428571428,1517.84,1528.3600000000001,1513.38,1523.02,242.0
2011-05-08,3.342857142857143,3.614285714285714,3.2857142857142856,3.4714285714285715,18551.714285714286,1527.6599999999999,1535.6200000000001,1504.02,1516.76,199.0
2011-05-15,5.814285714285715,6.799999999999999,5.085714285714286,6.257142857142857,41388.142857142855,1505.9,1513.56,1495.98,1504.1200000000001,22.8
2011-05-22,6.8,7.442857142857142,6.314285714285715,6.757142857142858,32681.285714285714,1493.2,1497.7,1487.76,1493.36,45.4
2011-05-29,7.8999999999999995,8.457142857142857,7.6571428571428575,8.142857142857142,27346.428571428572,1520.92,1525.46,1518.58,1524.8400000000001,15365.0
2011-06-05,11.328571428571431,13.071428571428571,10.714285714285714,12.514285714285716,41390.71428571428,1537.1,1545.625,1526.775,1538.0,3098.25
2011-06-12,22.314285714285713,26.47142857142857,18.057142857142857,22.571428571428573,91705.42857142857,1542.38,1548.14,1534.2599999999998,1539.72,926.0
2011-06-19,18.099999999999998,19.87142857142857,16.428571428571427,17.957142857142856,51547.142857142855,1523.8600000000001,1533.08,1516.8799999999999,1526.4599999999998,408.2
2011-06-26,17.5,17.5,17.0,17.357142857142858,2150.5714285714284,1539.04,1544.78,1526.56,1532.2,200.6
2011-07-03,16.3,16.842857142857145,15.685714285714285,16.142857142857146,25912.0,1504.24,1507.3799999999999,1493.94,1498.0400000000002,167.8
2011-07-10,14.357142857142858,15.557142857142859,13.371428571428572,14.285714285714288,56384.0,1515.0500000000002,1530.875,1512.475,1528.1,82.0
2011-07-17,14.071428571428571,14.242857142857142,13.614285714285714,13.828571428571431,25710.714285714286,1568.16,1578.1599999999999,1564.3600000000001,1574.94,15.6
2011-07-24,13.614285714285714,14.014285714285714,13.314285714285713,13.728571428571428,36559.0,1594.34,1603.6799999999998,1586.72,1597.56,24.2
2011-07-31,13.771428571428572,14.142857142857142,13.471428571428572,13.685714285714287,21672.0,1614.1599999999999,1623.1799999999998,1610.0400000000002,1617.06,15428.4
2011-08-07,10.728571428571428,11.485714285714286,9.085714285714285,9.942857142857141,63197.28571428572,1642.0400000000002,1662.52,1631.6,1645.86,2026.0
2011-08-14,9.257142857142856,10.357142857142858,8.642857142857144,9.671428571428573,49480.28571428572,1740.2600000000002,1774.4600000000003,1719.2599999999998,1744.1,1476.8
2011-08-21,11.085714285714285,11.485714285714286,10.928571428571429,11.157142857142857,19563.714285714286,1779.78,1809.94,1776.6600000000003,1799.3799999999999,536.2
2011-08-28,10.071428571428571,10.471428571428572,9.328571428571431,9.757142857142858,34605.0,1825.5,1851.8399999999997,1782.3800000000003,1811.0,738.0
2011-09-04,8.628571428571428,8.771428571428572,8.242857142857142,8.5,15487.142857142857,1818.02,1841.8200000000002,1804.7800000000002,1828.6600000000003,334.8
2011-09-11,6.6,7.171428571428571,5.685714285714285,6.271428571428571,85790.57142857143,1863.15,1884.15,1830.45,1848.725,334.0
2011-09-18,5.3999999999999995,5.6571428571428575,4.971428571428572,5.3,44884.28571428572,1819.6,1833.22,1793.4800000000002,1810.1599999999999,128.8
2011-09-25,5.557142857142857,5.8999999999999995,5.242857142857143,5.571428571428571,49928.857142857145,1782.4,1789.8399999999997,1741.56,1753.0400000000002,45.0
2011-10-02,4.971428571428571,5.142857142857143,4.757142857142857,4.928571428571429,28687.428571428572,1635.0,1650.08,1612.1,1619.06,1540.8
2011-10-09,4.7,4.771428571428571,4.385714285714286,4.571428571428571,40074.28571428572,1643.5400000000002,1660.6599999999999,1617.52,1639.48,95.6
2011-10-16,4.0285714285714285,4.142857142857143,3.8285714285714283,3.957142857142857,35059.42857142857,1667.9199999999996,1682.98,1658.22,1671.94,89.6
2011-10-23,2.7142857142857144,2.957142857142857,2.3714285714285714,2.657142857142857,96598.42857142857,1655.6399999999999,1662.0,1634.1200000000001,1644.0400000000002,54.4
2011-10-30,3.0142857142857147,3.2714285714285714,2.7857142857142856,3.028571428571429,66333.71428571429,1695.6,1715.14,1688.7,1713.3400000000001,196.0
2011-11-06,3.2,3.242857142857143,3.014285714285714,3.1571428571428575,33630.71428571428,1734.0800000000004,1746.1200000000001,1720.6399999999999,1736.6799999999998,187.8
2011-11-13,2.985714285714286,3.0714285714285716,2.9285714285714284,2.9857142857142853,35044.857142857145,1778.8,1786.4,1772.0800000000004,1785.2,19.8
2011-11-20,2.371428571428571,2.557142857142857,2.1,2.2571428571428567,125180.28571428571,1763.2,1766.1800000000003,1746.2,1755.5600000000002,35.0
2011-11-27,2.357142857142857,2.442857142857143,2.3285714285714287,2.3999999999999995,43778.42857142857,1690.3249999999998,1694.475,1676.675,1690.425,21.0
2011-12-04,2.8285714285714287,2.971428571428571,2.7,2.8714285714285714,97363.0,1725.58,1738.92,1718.1600000000003,1730.4,16533.2
2011-12-11,2.957142857142857,3.0714285714285716,2.9,3.0285714285714285,57350.71428571428,1731.3799999999999,1739.86,1710.5600000000002,1724.42,642.8
2011-12-18,3.214285714285714,3.2428571428571424,3.1285714285714286,3.1999999999999997,33182.0,1631.5,1641.64,1600.78,1615.72,540.8
2011-12-25,3.7714285714285714,4.085714285714286,3.642857142857143,3.914285714285714,78375.42857142857,1605.84,1615.6399999999999,1600.4200000000003,1607.1,201.2
2012-01-01,4.242857142857143,4.542857142857143,4.114285714285714,4.4,69314.28571428571,1573.15,1581.6,1556.6999999999998,1565.7,314.75
2012-01-08,5.914285714285714,6.442857142857143,5.585714285714286,6.171428571428572,118782.71428571429,1599.7,1618.7,1594.225,1611.775,195.75
2012-01-15,6.67142857142857,7.0,6.257142857142859,6.6571428571428575,108933.42857142857,1630.6200000000001,1640.8,1627.8200000000002,1631.08,114.4
2012-01-22,6.328571428571428,6.714285714285714,5.8,6.228571428571429,122002.42857142857,1653.375,1661.7,1650.6000000000001,1658.1249999999998,23.25
2012-01-29,5.857142857142857,6.0,5.557142857142856,5.728571428571429,80304.42857142857,1694.56,1703.5,1687.6,1700.02,56.0
2012-02-05,5.785714285714286,5.957142857142856,5.571428571428571,5.828571428571429,65843.71428571429,1742.1800000000003,1752.22,1728.42,1742.1200000000001,13119.8
2012-02-12,5.671428571428572,5.857142857142857,5.471428571428572,5.642857142857144,97404.14285714286,1731.6200000000001,1744.3799999999999,1717.4399999999998,1732.1599999999999,464.0
2012-02-19,4.642857142857144,4.885714285714286,4.285714285714286,4.485714285714287,152128.42857142858,1724.1200000000001,1731.6799999999998,1716.56,1723.3,85.2
2012-02-26,4.614285714285714,4.842857142857143,4.500000000000001,4.685714285714286,86179.42857142857,1761.825,1777.1499999999999,1756.9750000000001,1771.775,175.75
2012-03-04,4.8428571428571425,4.928571428571429,4.700000000000001,4.828571428571428,56064.57142857143,1750.6,1760.6,1721.7600000000002,1740.08,232.2
2012-03-11,4.8999999999999995,5.014285714285713,4.814285714285715,4.9142857142857155,45407.71428571428,1695.08,1702.1200000000001,1680.3200000000002,1693.3399999999997,202.0
2012-03-18,5.185714285714286,5.314285714285714,5.1571428571428575,5.242857142857142,49716.71428571428,1677.94,1682.8799999999999,1659.7399999999998,1670.0,213.6
2012-03-25,4.814285714285715,4.885714285714286,4.571428571428571,4.714285714285714,74927.85714285714,1653.52,1658.9600000000003,1644.06,1653.64,331.0
2012-04-01,4.771428571428571,4.8428571428571425,4.6571428571428575,4.799999999999999,47116.28571428572,1669.06,1677.6599999999999,1662.1,1669.94,11473.6
2012-04-08,4.871428571428572,4.957142857142856,4.799999999999999,4.871428571428572,60731.857142857145,1653.825,1660.625,1633.525,1647.075,1276.75
2012-04-15,4.885714285714285,4.942857142857143,4.8,4.914285714285714,56585.0,1656.48,1664.5399999999997,1645.48,1659.92,492.6
2012-04-22,5.1000000000000005,5.242857142857142,5.028571428571429,5.128571428571429,55673.0,1647.9600000000003,1652.3600000000001,1637.8399999999997,1644.1,238.0
2012-04-29,5.085714285714286,5.142857142857143,4.942857142857143,5.042857142857143,50435.42857142857,1646.1800000000003,1652.08,1639.7400000000002,1647.98,151.6
2012-05-06,5.028571428571429,5.114285714285714,4.985714285714286,5.057142857142858,43657.57142857143,1654.8200000000002,1658.6399999999999,1644.7400000000002,1651.48,51.4
2012-05-13,5.0,5.057142857142857,4.914285714285714,4.971428571428571,45906.142857142855,1610.0400000000002,1611.2,1598.6799999999998,1603.0,43.4
2012-05-20,5.042857142857144,5.085714285714286,5.028571428571429,5.071428571428571,41058.57142857143,1556.0800000000002,1566.52,1548.2999999999997,1563.9399999999998,27.2
2012-05-27,5.114285714285714,5.171428571428571,5.1000000000000005,5.114285714285714,31085.714285714286,1564.6,1572.1599999999999,1560.7000000000003,1567.78,19.0
2012-06-03,5.185714285714285,5.242857142857143,5.128571428571428,5.200000000000001,34398.0,1562.825,1588.525,1550.6000000000001,1573.775,22153.25
2012-06-10,5.457142857142857,5.557142857142857,5.385714285714286,5.5,48468.28571428572,1614.9,1622.28,1597.36,1607.3799999999999,902.8
2012-06-17,5.928571428571429,6.1571428571428575,5.814285714285715,6.028571428571429,57737.0,1611.16,1619.92,1602.2599999999998,1614.3399999999997,563.0
2012-06-24,6.485714285714286,6.628571428571429,6.3428571428571425,6.499999999999999,45374.0,1607.8799999999999,1609.8400000000001,1592.22,1598.6399999999999,92.6
2012-07-01,6.528571428571429,6.628571428571429,6.428571428571429,6.571428571428572,37663.28571428572,1572.3399999999997,1583.3,1562.4,1578.44,75.2
2012-07-08,6.642857142857143,6.785714285714286,6.542857142857144,6.671428571428571,40236.57142857143,1602.925,1608.825,1594.625,1601.4499999999998,30.25
2012-07-15,7.314285714285715,7.542857142857144,7.157142857142857,7.428571428571429,49524.142857142855,1579.1600000000003,1586.0399999999997,1569.76,1579.92,19.8
2012-07-22,8.614285714285714,9.185714285714285,8.014285714285716,8.728571428571428,113291.28571428571,1585.4599999999998,1588.1399999999999,1577.3,1582.6600000000003,25.8
2012-07-29,8.7,8.942857142857141,8.471428571428573,8.742857142857144,48392.28571428572,1591.5399999999997,1597.22,1590.92,1598.8,18.8
2012-08-05,9.9,10.4,9.599999999999998,10.214285714285714,71150.71428571429,1609.34,1618.32,1596.6600000000003,1605.4599999999998,12862.0
2012-08-12,11.142857142857142,11.485714285714284,10.957142857142859,11.242857142857142,48889.142857142855,1610.8600000000001,1617.1600000000003,1606.06,1614.46,620.8
2012-08-19,12.257142857142854,13.057142857142859,11.042857142857141,11.742857142857144,114308.57142857143,1609.3200000000002,1615.48,1600.42,1609.02,408.0
2012-08-26,9.857142857142858,10.428571428571429,9.614285714285714,10.228571428571428,78108.14285714286,1639.6199999999997,1651.1599999999999,1637.3600000000001,1647.36,105.6
2012-09-02,10.614285714285714,10.971428571428572,10.200000000000001,10.557142857142859,61533.28571428572,1663.2,1673.14,1657.0400000000002,1667.36,121.2
2012-09-09,10.757142857142856,10.999999999999998,10.528571428571428,10.87142857142857,37063.857142857145,1693.1499999999999,1710.4750000000001,1692.8,1705.9499999999998,68.25
