areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-05-27,3639
K02000001,United Kingdom,overview,2021-05-26,3800
K02000001,United Kingdom,overview,2021-05-25,3308
K02000001,United Kingdom,overview,2021-05-24,3237
K02000001,United Kingdom,overview,2021-05-23,2242
K02000001,United Kingdom,overview,2021-05-22,1926
K02000001,United Kingdom,overview,2021-05-21,2295
K02000001,United Kingdom,overview,2021-05-20,2425
K02000001,United Kingdom,overview,2021-05-19,2712
K02000001,United Kingdom,overview,2021-05-18,2709
K02000001,United Kingdom,overview,2021-05-17,2765
K02000001,United Kingdom,overview,2021-05-16,1853
K02000001,United Kingdom,overview,2021-05-15,1583
K02000001,United Kingdom,overview,2021-05-14,1851
K02000001,United Kingdom,overview,2021-05-13,2096
K02000001,United Kingdom,overview,2021-05-12,2231
K02000001,United Kingdom,overview,2021-05-11,2200
K02000001,United Kingdom,overview,2021-05-10,2657
K02000001,United Kingdom,overview,2021-05-09,2172
K02000001,United Kingdom,overview,2021-05-08,1510
K02000001,United Kingdom,overview,2021-05-07,1883
K02000001,United Kingdom,overview,2021-05-06,2167
K02000001,United Kingdom,overview,2021-05-05,2396
K02000001,United Kingdom,overview,2021-05-04,2405
K02000001,United Kingdom,overview,2021-05-03,1973
K02000001,United Kingdom,overview,2021-05-02,1425
K02000001,United Kingdom,overview,2021-05-01,1357
K02000001,United Kingdom,overview,2021-04-30,1704
K02000001,United Kingdom,overview,2021-04-29,2085
K02000001,United Kingdom,overview,2021-04-28,2361
K02000001,United Kingdom,overview,2021-04-27,2058
K02000001,United Kingdom,overview,2021-04-26,2444
K02000001,United Kingdom,overview,2021-04-25,1993
K02000001,United Kingdom,overview,2021-04-24,1464
K02000001,United Kingdom,overview,2021-04-23,1891
K02000001,United Kingdom,overview,2021-04-22,2254
K02000001,United Kingdom,overview,2021-04-21,2543
K02000001,United Kingdom,overview,2021-04-20,2365
K02000001,United Kingdom,overview,2021-04-19,2602
K02000001,United Kingdom,overview,2021-04-18,2439
K02000001,United Kingdom,overview,2021-04-17,1638
K02000001,United Kingdom,overview,2021-04-16,2353
K02000001,United Kingdom,overview,2021-04-15,2188
K02000001,United Kingdom,overview,2021-04-14,2404
K02000001,United Kingdom,overview,2021-04-13,2332
K02000001,United Kingdom,overview,2021-04-12,2714
K02000001,United Kingdom,overview,2021-04-11,2257
K02000001,United Kingdom,overview,2021-04-10,2259
K02000001,United Kingdom,overview,2021-04-09,2786
K02000001,United Kingdom,overview,2021-04-08,2983
K02000001,United Kingdom,overview,2021-04-07,3081
K02000001,United Kingdom,overview,2021-04-06,3117
K02000001,United Kingdom,overview,2021-04-05,2616
K02000001,United Kingdom,overview,2021-04-04,2294
K02000001,United Kingdom,overview,2021-04-03,2403
K02000001,United Kingdom,overview,2021-04-02,2627
K02000001,United Kingdom,overview,2021-04-01,3469
K02000001,United Kingdom,overview,2021-03-31,3773
K02000001,United Kingdom,overview,2021-03-30,3595
K02000001,United Kingdom,overview,2021-03-29,3968
K02000001,United Kingdom,overview,2021-03-28,4657
K02000001,United Kingdom,overview,2021-03-27,3541
K02000001,United Kingdom,overview,2021-03-26,4390
K02000001,United Kingdom,overview,2021-03-25,5402
K02000001,United Kingdom,overview,2021-03-24,6015
K02000001,United Kingdom,overview,2021-03-23,5259
K02000001,United Kingdom,overview,2021-03-22,6203
K02000001,United Kingdom,overview,2021-03-21,5233
K02000001,United Kingdom,overview,2021-03-20,4102
K02000001,United Kingdom,overview,2021-03-19,4997
K02000001,United Kingdom,overview,2021-03-18,5478
K02000001,United Kingdom,overview,2021-03-17,5771
K02000001,United Kingdom,overview,2021-03-16,5674
K02000001,United Kingdom,overview,2021-03-15,6503
K02000001,United Kingdom,overview,2021-03-14,4301
K02000001,United Kingdom,overview,2021-03-13,4245
K02000001,United Kingdom,overview,2021-03-12,5589
K02000001,United Kingdom,overview,2021-03-11,5770
K02000001,United Kingdom,overview,2021-03-10,6037
K02000001,United Kingdom,overview,2021-03-09,6227
K02000001,United Kingdom,overview,2021-03-08,6643
K02000001,United Kingdom,overview,2021-03-07,4284
K02000001,United Kingdom,overview,2021-03-06,4504
K02000001,United Kingdom,overview,2021-03-05,5301
K02000001,United Kingdom,overview,2021-03-04,5726
K02000001,United Kingdom,overview,2021-03-03,5973
K02000001,United Kingdom,overview,2021-03-02,6654
K02000001,United Kingdom,overview,2021-03-01,6876
K02000001,United Kingdom,overview,2021-02-28,4715
K02000001,United Kingdom,overview,2021-02-27,4816
K02000001,United Kingdom,overview,2021-02-26,6567
K02000001,United Kingdom,overview,2021-02-25,7720
K02000001,United Kingdom,overview,2021-02-24,8544
K02000001,United Kingdom,overview,2021-02-23,9380
K02000001,United Kingdom,overview,2021-02-22,11240
K02000001,United Kingdom,overview,2021-02-21,7868
K02000001,United Kingdom,overview,2021-02-20,8053
K02000001,United Kingdom,overview,2021-02-19,10382
K02000001,United Kingdom,overview,2021-02-18,11410
K02000001,United Kingdom,overview,2021-02-17,11560
K02000001,United Kingdom,overview,2021-02-16,12484
K02000001,United Kingdom,overview,2021-02-15,14267
K02000001,United Kingdom,overview,2021-02-14,8752
K02000001,United Kingdom,overview,2021-02-13,8758
K02000001,United Kingdom,overview,2021-02-12,12161
K02000001,United Kingdom,overview,2021-02-11,12737
K02000001,United Kingdom,overview,2021-02-10,13479
K02000001,United Kingdom,overview,2021-02-09,13797
K02000001,United Kingdom,overview,2021-02-08,15704
K02000001,United Kingdom,overview,2021-02-07,11373
K02000001,United Kingdom,overview,2021-02-06,11957
K02000001,United Kingdom,overview,2021-02-05,15844
K02000001,United Kingdom,overview,2021-02-04,17955
K02000001,United Kingdom,overview,2021-02-03,19392
K02000001,United Kingdom,overview,2021-02-02,19750
K02000001,United Kingdom,overview,2021-02-01,22328
K02000001,United Kingdom,overview,2021-01-31,15369
K02000001,United Kingdom,overview,2021-01-30,16667
K02000001,United Kingdom,overview,2021-01-29,21766
K02000001,United Kingdom,overview,2021-01-28,24130
K02000001,United Kingdom,overview,2021-01-27,25668
K02000001,United Kingdom,overview,2021-01-26,26966
K02000001,United Kingdom,overview,2021-01-25,29900
K02000001,United Kingdom,overview,2021-01-24,17153
K02000001,United Kingdom,overview,2021-01-23,21819
K02000001,United Kingdom,overview,2021-01-22,29518
K02000001,United Kingdom,overview,2021-01-21,31649
K02000001,United Kingdom,overview,2021-01-20,35062
K02000001,United Kingdom,overview,2021-01-19,39453
K02000001,United Kingdom,overview,2021-01-18,44759
K02000001,United Kingdom,overview,2021-01-17,28841
K02000001,United Kingdom,overview,2021-01-16,30519
K02000001,United Kingdom,overview,2021-01-15,40378
K02000001,United Kingdom,overview,2021-01-14,42368
K02000001,United Kingdom,overview,2021-01-13,45392
K02000001,United Kingdom,overview,2021-01-12,49369
